Timestamp,Type,Setpoint,Current,PWM
1767574541.1827598,I,0.00,17.50,0.00
1767574541.202359,I,0.00,17.50,0.00
1767574541.2223592,I,0.00,17.50,0.00
1767574541.242827,I,0.00,17.50,0.00
1767574541.2630332,I,0.00,17.50,0.00
1767574541.2830517,I,0.00,18.75,0.00
1767574541.3027508,I,0.00,18.75,0.00
1767574541.3158054,T,25.19,24.81
1767574541.3222706,I,0.00,17.50,0.00
1767574541.3422725,I,0.00,16.25,0.00
1767574541.362272,I,0.00,18.75,0.00
1767574541.3831022,I,0.00,17.50,0.00
1767574541.402678,I,0.00,17.50,0.00
1767574541.4156787,T,25.19,24.81
1767574541.4226787,I,0.00,17.50,0.00
1767574541.4427488,I,0.00,18.75,0.00
1767574541.462494,I,0.00,17.50,0.00
1767574541.4830482,I,0.00,17.50,0.00
1767574541.5025578,I,0.00,17.50,0.00
1767574541.5155573,T,25.19,24.81
1767574541.522559,I,0.00,18.75,0.00
1767574541.542558,I,0.00,18.75,0.00
1767574541.562558,I,0.00,17.50,0.00
1767574541.5830953,I,0.00,17.50,0.00
1767574541.6026022,I,0.00,16.25,0.00
1767574541.6156013,T,25.12,24.69
1767574541.6226034,I,0.00,17.50,0.00
1767574541.642797,I,0.00,16.25,0.00
1767574541.662849,I,0.00,17.50,0.00
1767574541.682855,I,0.00,16.25,0.00
1767574541.7023687,I,0.00,18.75,0.00
1767574541.7153854,T,25.12,24.69
1767574541.7223845,I,0.00,17.50,0.00
1767574541.7423844,I,0.00,17.50,0.00
1767574541.7627923,I,0.00,17.50,0.00
1767574541.7824302,I,0.00,17.50,0.00
1767574541.803023,I,0.00,17.50,0.00
1767574541.8161325,T,25.12,24.69
1767574541.823133,I,0.00,18.75,0.00
1767574541.8432298,I,0.00,17.50,0.00
1767574541.862291,I,0.00,17.50,0.00
1767574541.882301,I,0.00,17.50,0.00
1767574541.9025702,I,0.00,16.25,0.00
1767574541.9159808,T,25.12,24.69
1767574541.9229767,I,0.00,18.75,0.00
1767574541.943174,I,0.00,17.50,0.00
1767574541.9628742,I,0.00,17.50,0.00
1767574541.9828792,I,0.00,17.50,0.00
1767574542.002677,I,0.00,17.50,0.00
1767574542.0156796,T,25.12,24.69
1767574542.0226786,I,0.00,17.50,0.00
1767574542.0426764,I,0.00,18.75,0.00
1767574542.0626767,I,0.00,17.50,0.00
1767574542.0826793,I,0.00,17.50,0.00
1767574542.1022933,I,0.00,17.50,0.00
1767574542.1152952,T,25.12,24.69
1767574542.1223876,I,0.00,17.50,0.00
1767574542.143069,I,0.00,18.75,0.00
1767574542.162857,I,0.00,17.50,0.00
1767574542.1829093,I,0.00,17.50,0.00
1767574542.2025108,I,0.00,17.50,0.00
1767574542.2155092,T,25.12,24.69
1767574542.222286,I,0.00,16.25,0.00
1767574542.242286,I,0.00,17.50,0.00
1767574542.263289,I,0.00,16.25,0.00
1767574542.2824266,I,0.00,17.50,0.00
1767574542.3031406,I,0.00,18.75,0.00
1767574542.3156967,T,25.12,24.69
1767574542.322694,I,0.00,17.50,0.00
